Dates;ABI BB Equity;AD NA Equity;ADS GY Equity;AI FP Equity;AIR FP Equity;AMS SQ Equity;ASML NA Equity;BAS GY Equity;BAYN GY Equity;BBVA SQ Equity;BMW GY Equity;BN FP Equity;BNP FP Equity;CRH ID Equity;CS FP Equity;DAI GY Equity;DG FP Equity;DPW GY Equity;DTE GY Equity;EL FP Equity;ENEL IM Equity;ENGI FP Equity;ENI IM Equity;FP FP Equity;FRE GY Equity;GLE FP Equity;IBE SQ Equity;INGA NA Equity;ISP IM Equity;ITX SQ Equity;KER FP Equity;LIN GY Equity;MC FP Equity;MUV2 GY Equity;OR FP Equity;ORA FP Equity;PHIA NA Equity;SAF FP Equity;SAN FP Equity;SAN SQ Equity;SAP GY Equity;SIE GY Equity;SU FP Equity;TEF SQ Equity;URW NA Equity;VIV FP Equity;VOW3 GY Equity;SX5E Index
27/02/2019 00:00;65,86;22,60;213,10;109,50;113,46;68,62;161,68;67,28;69,28;5,38;74,24;66,42;44,20;27,55;22,11;52,88;82,74;27,12;14,48;106,75;5,30;13,90;15,22;50,02;48,14;26,56;7,34;11,55;2,13;26,02;481,40;152,70;302,40;205,90;220,30;13,31;34,66;120,00;72,73;4,20;93,81;96,68;68,32;7,54;143,76;24,39;151,66;3282,77
28/02/2019 00:00;68,55;22,68;213,60;109,65;113,60;66,20;161,12;66,99;70,28;5,47;74,31;66,33;45,06;27,84;22,30;52,66;83,92;27,32;14,49;106,45;5,32;13,25;15,17;49,99;49,43;27,00;7,35;11,63;2,17;26,54;480,10;152,80;302,00;207,10;221,90;13,44;35,00;119,90;73,50;4,30;94,20;96,13;68,42;7,59;142,00;25,70;150,90;3298,26
01/03/2019 00:00;72,80;22,81;215,90;110,45;113,90;66,40;161,46;68,06;71,43;5,38;74,75;65,88;44,90;28,26;22,53;53,28;83,16;27,30;14,53;106,70;5,31;13,34;15,04;49,88;48,83;27,04;7,29;11,67;2,16;26,75;495,50;150,75;306,60;208,50;223,40;13,33;35,38;120,00;74,00;4,25;94,89;96,94;69,06;7,48;141,80;25,62;154,18;3312,10
04/03/2019 00:00;71,65;22,26;215,80;109,90;114,02;65,86;163,88;68,31;72,35;5,34;74,67;66,72;44,94;28,04;22,46;53,48;83,52;27,42;14,59;108,10;5,30;13,20;15,11;50,37;48,67;27,22;7,31;11,63;2,17;26,86;494,50;147,90;308,00;208,50;223,20;13,32;35,89;120,45;75,03;4,24;94,68;97,42;69,98;7,42;143,74;25,45;154,24;3317,12
05/03/2019 00:00;72,68;22,62;216,70;110,85;113,24;65,44;163,92;68,13;72,81;5,31;75,06;66,93;44,52;28,17;22,29;52,91;83,78;27,40;14,69;109,05;5,33;13,18;15,18;50,85;48,44;27,03;7,35;11,24;2,16;26,79;493,40;149,25;309,00;208,90;226,20;13,36;36,15;120,90;76,43;4,24;95,37;97,22;69,56;7,49;144,28;25,61;154,22;3327,19
06/03/2019 00:00;72,47;22,69;217,60;111,80;113,72;64,94;160,94;68,08;72,47;5,37;74,53;67,36;44,69;27,86;22,36;52,20;83,68;27,10;14,69;108,75;5,40;13,12;15,28;51,02;48,19;27,11;7,38;10,99;2,18;26,91;489,00;149,40;306,90;209,80;224,00;13,26;36,00;120,70;76,58;4,31;95,20;97,22;69,66;7,53;143,72;25,70;152,18;3324,67
07/03/2019 00:00;71,75;22,44;215,60;110,70;112,74;66,02;159,40;67,06;71,14;5,22;73,09;68,02;43,18;27,41;22,23;50,44;84,02;27,45;14,87;108,65;5,50;13,28;15,28;51,02;47,89;25,94;7,64;10,71;2,13;26,86;487,00;149,50;306,05;208,50;228,10;13,43;35,52;120,15;76,64;4,16;95,32;96,45;69,26;7,56;144,32;25,55;149,94;3308,85
08/03/2019 00:00;71,48;22,25;210,60;110,85;111,52;66,08;158,30;66,40;69,49;5,14;72,16;67,91;42,35;27,45;21,99;50,08;84,36;27,65;14,87;101,80;5,48;13,24;14,97;50,33;47,19;25,30;7,55;10,44;2,12;26,41;486,80;149,90;305,80;208,70;229,10;13,57;34,90;119,55;76,78;4,08;95,60;95,14;67,60;7,58;146,64;25,57;147,06;3283,60
11/03/2019 00:00;71,74;22,29;212,60;111,45;112,96;66,10;161,18;66,86;68,40;5,20;73,18;67,93;43,33;27,80;22,17;50,75;84,82;28,07;14,97;103,65;5,46;13,28;15,12;50,76;48,17;26,36;7,59;10,72;2,14;26,36;487,50;151,85;306,40;209,00;227,30;13,60;35,38;117,55;76,96;4,14;95,84;95,78;68,76;7,64;146,00;25,61;146,66;3304,44
12/03/2019 00:00;71,82;22,37;209,80;111,35;114,58;65,36;162,00;66,80;67,04;5,18;73,10;67,61;43,05;27,59;22,15;50,56;84,04;28,45;15,01;103,85;5,50;13,34;15,16;50,66;48,30;26,30;7,63;10,67;2,14;26,27;487,60;152,95;308,60;209,10;228,30;13,53;35,24;117,00;77,40;4,14;95,60;96,11;69,10;7,57;144,64;25,61;143,98;3303,95
13/03/2019 00:00;71,13;22,57;204,80;111,65;116,88;65,52;161,92;67,08;68,04;5,28;73,63;67,95;43,56;27,70;22,31;50,88;84,00;28,81;15,11;102,45;5,49;13,34;15,54;51,21;49,11;26,73;7,59;10,82;2,15;25,10;490,50;154,75;310,50;209,30;228,90;13,59;35,55;117,25;77,80;4,27;96,40;96,16;69,40;7,59;145,50;25,82;145,54;3323,45
14/03/2019 00:00;70,68;22,56;211,60;112,45;117,00;65,50;162,16;66,19;67,79;5,28;73,78;68,71;43,84;27,47;22,47;50,97;85,82;29,27;15,19;105,85;5,49;13,30;15,54;51,45;48,63;27,00;7,60;10,93;2,17;25,07;494,60;153,85;315,60;211,50;232,60;13,79;35,75;117,40;78,35;4,30;97,00;96,84;69,82;7,61;148,50;25,93;144,16;3342,03
15/03/2019 00:00;71,71;22,97;212,40;113,75;117,68;67,50;169,70;67,51;67,75;5,37;74,09;69,05;44,29;28,04;22,80;51,67;86,28;29,47;15,46;106,40;5,47;13,52;15,59;51,70;48,97;27,30;7,67;11,08;2,20;25,96;496,30;154,40;318,60;216,60;236,10;14,16;36,42;118,80;79,55;4,38;99,35;97,98;70,72;7,81;149,34;25,90;144,32;3386,08
18/03/2019 00:00;72,36;23,49;207,40;112,50;118,00;67,48;167,40;66,95;68,03;5,42;74,17;69,13;45,10;27,86;22,80;51,10;86,76;29,57;15,65;105,20;5,50;13,50;15,74;52,27;48,12;27,97;7,72;10,97;2,23;26,20;496,00;153,30;317,15;216,60;235,20;14,27;36,02;119,85;79,22;4,43;98,85;97,98;70,34;7,83;149,90;25,94;145,50;3387,94
